Date,Steps,Active Minutes,Calories Expended,Heart Minutes,Activity Segments,keyboard,mouse
2024-12-05,1405,13,58.05667643550537,2,100,,
2024-12-06,6856,100,48.39833624738445,16,107,4473.0,1541.0
2024-12-07,3875,45,60.01297151016653,12,100,6972.0,2327.0
2024-12-08,9060,98,42.01841732767888,19,100,2972.0,1746.0
2024-12-09,6748,65,44.0,19,93,279.0,268.0
2024-12-10,6399,94,46.06645727818843,18,100,9321.0,1304.0
2024-12-11,12658,147,108.07772773457177,22,200,4234.0,2176.0
2024-12-12,8222,108,44.48404914686415,9,102,9211.0,3229.0
2024-12-13,1859,20,4.769061088562012,10,7,34704.0,4766.0
